2866,28,42756,638.66,1,8,1,2015
551,11,42793,871.86,3,16,1,2015
617,2,42779,9555.04,3,19,1,2015
2918,24,42774,6048.9,1,27,1,2015
598,29,42785,1597.42,3,4,2,2015
664,4,42804,244444000,3,6,2,2015
2967,30,42816,1254.88,1,13,2,2015
647,26,42772,6569.86,3,23,2,2015
713,16,42759,1800.48,3,26,2,2015
3015,9,42780,4028.86,1,5,3,2015
696,15,42794,305.36,3,13,3,2015
770,23,42766,7011.62,3,17,3,2015
3117,23,42791,258.28,1,24,3,2015
743,27,42818,1907.62,3,1,4,2015
833,23,42778,2807.64,3,4,4,2015
3241,2,42785,1597.42,1,11,4,2015
810,24,42808,244444000,3,20,4,2015
881,27,42794,305.36,3,23,4,2015
3345,23,42815,599.5,1,30,4,2015
863,23,42757,1784.42,3,9,5,2015
933,26,42803,244444000,3,12,5,2015
3394,4,42763,2118.38,1,20,5,2015
913,31,42769,3039.08,3,28,5,2015
984,7,42757,1784.42,3,1,6,2015
36,26,42763,2118.38,1,9,6,2015
965,11,42779,9555.04,3,16,6,2015
1034,11,42801,2802.8,3,18,6,2015
91,2,42767,3485.68,1,27,6,2015
1016,19,42812,376.64,3,4,7,2015
1082,30,42789,218.02,3,7,7,2015
144,10,42811,2559.92,1,15,7,2015
1064,4,42795,543.18,3,23,7,2015
1129,6,42814,369.82,3,25,7,2015
196,16,42772,6569.86,1,4,8,2015
1112,6,42779,9555.04,3,11,8,2015
1176,9,42772,6569.86,3,14,8,2015
254,29,42802,0,1,22,8,2015
1159,29,42807,0,3,29,8,2015
1223,31,42796,457.82,3,2,9,2015
317,26,42800,1642.74,1,10,9,2015
1206,2,42766,7011.62,3,18,9,2015
1272,18,42767,3485.68,3,21,9,2015
364,16,42759,1800.48,1,30,9,2015
1254,1,42789,218.02,3,7,10,2015
1320,12,42784,1748.78,3,9,10,2015
412,12,42797,4845.5,1,17,10,2015
1302,5,42761,1384.46,3,26,10,2015
1368,20,42799,1536.04,3,28,10,2015
467,3,42771,2554.2,1,6,11,2015
1350,25,42761,1384.46,3,13,11,2015
1416,11,42786,795.74,3,16,11,2015
518,9,42782,3373.92,1,25,11,2015
1398,20,42778,2807.64,3,2,12,2015
1465,24,42818,1907.62,3,4,12,2015
566,22,42797,4845.5,1,14,12,2015
1448,20,42775,3206.06,3,21,12,2015
1519,3,42778,2807.64,3,24,12,2015
615,5,42756,638.66,1,1,1,2016
1500,11,42795,543.18,3,8,1,2016
1571,24,42812,376.64,3,11,1,2016
662,20,42797,4845.5,1,20,1,2016
1551,28,42763,2118.38,3,28,1,2016
1618,7,42778,2807.64,3,30,1,2016
712,6,42774,6048.9,1,8,2,2016
1601,17,42806,0,3,15,2,2016
1665,13,42802,0,3,18,2,2016
769,26,42781,2098.8,1,26,2,2016
1649,29,42762,2106.06,3,5,3,2016
1713,24,42804,244444000,3,8,3,2016
827,2,42773,8703.64,1,17,3,2016
1695,6,42796,457.82,3,24,3,2016
1761,9,42755,1079.32,3,28,3,2016
879,1,42804,244444000,1,4,4,2016
1743,22,42782,3373.92,3,12,4,2016
1809,22,42770,3597.22,3,15,4,2016
930,14,42770,3597.22,1,23,4,2016
1791,28,42799,1536.04,3,30,4,2016
1857,4,42771,2554.2,3,4,5,2016
982,21,42779,9555.04,1,12,5,2016
1839,25,42815,599.5,3,19,5,2016
1959,10,42815,599.5,3,21,5,2016
1032,4,42792,479.82,1,31,5,2016
1905,4,42757,1784.42,3,8,6,2016
2107,5,42763,2118.38,3,10,6,2016
1079,14,42818,1907.62,1,18,6,2016
2051,2,42756,638.66,3,27,6,2016
2253,6,42809,0,3,29,6,2016
